date,Volume,VWAP,Open,Close,High,Low,Trades,SMA_20,SMA_50,SMA_100
2023-09-08,473899940.0,45.7668,45.942,45.572,46.606,45.271,601877,,,
2023-09-11,473965550.0,44.938,46.148,45.178,46.163,44.312,735216,,,
2023-09-12,349256340.0,45.1759,44.738,44.87,45.673,44.531,493918,,,
2023-09-13,398355350.0,45.4121,44.6,45.485,45.93,44.503,545266,,,
2023-09-14,370097200.0,45.5761,45.95,45.581,45.987,45.131,492419,,,
2023-09-15,506830510.0,44.3166,45.341,43.9,45.599,43.808,682553,,,
2023-09-18,500270790.0,43.5805,42.748,43.966,44.242,42.0,649343,,,
2023-09-19,373064240.0,43.4554,43.833,43.52,43.966,43.002,477287,,,
2023-09-20,367107690.0,43.1309,43.6,42.239,43.903,42.223,505028,,,
2023-09-21,450735960.0,41.4309,41.583,41.017,42.1,40.98,673770,,,
2023-09-22,479236310.0,41.7155,41.572,41.61,42.115,41.231,603482,,,
2023-09-25,419090960.0,42.0972,41.591,42.222,42.536,41.177,539609,,,
2023-09-26,402282090.0,42.1458,42.001,41.911,42.82,41.655,528195,,,
2023-09-27,444935200.0,42.2415,42.33,42.468,42.872,41.629,539450,,,
2023-09-28,424662790.0,42.9396,42.46,43.089,43.4463,42.115,520382,,,
2023-09-29,397829930.0,43.7037,43.827,43.499,44.144,43.3069,479625,,,
2023-10-02,433298210.0,44.6532,44.03,44.782,45.175,43.861,585104,,,
2023-10-03,470849540.0,44.014,44.808,43.517,45.13,43.246,632527,,,
2023-10-04,361820860.0,43.797,43.742,44.041,44.143,43.292,469045,,,
2023-10-05,393483090.0,44.4551,44.05,44.688,44.9,43.888,514684,43.65775,,
2023-10-06,434436020.0,45.135,44.193,45.762,45.789,44.026,566889,43.66725,,
2023-10-09,409674720.0,44.9567,44.842,45.273,45.605,44.368,549355,43.672000000000004,,
2023-10-10,368582080.0,45.8083,45.31,45.798,46.259,45.088,511937,43.7184,,
2023-10-11,378136890.0,46.441,46.196,46.806,46.859,46.05,515462,43.78445,,
2023-10-12,481325000.0,47.0779,46.777,46.945,47.609,46.33,655683,43.85265,,
2023-10-13,475425990.0,45.997,46.96,45.461,47.116,45.28,718281,43.9307,,
2023-10-16,375099240.0,45.8292,45.063,46.095,46.225,44.912,507192,44.03715,,
2023-10-17,812332670.0,43.8716,44.0,43.938,44.754,42.48,1068737,44.05805,,
2023-10-18,627294340.0,42.4139,42.591,42.196,43.219,41.825,921178,44.055899999999994,,
2023-10-19,501233080.0,42.5624,42.811,42.101,43.297,41.882,647577,44.1101,,
2023-10-20,477266050.0,41.615,41.89,41.387,42.47,41.078,607027,44.09895,,
2023-10-23,478530490.0,42.4645,41.229,42.975,43.248,40.945,639908,44.1366,,
2023-10-24,401463370.0,43.2149,43.077,43.663,43.697,42.691,515683,44.224199999999996,,
2023-10-25,398379220.0,42.3941,43.398,41.779,43.65,41.555,573161,44.189750000000004,,
2023-10-26,541001320.0,40.7003,41.853,40.326,42.2556,39.8802,796730,44.05159999999999,,
2023-10-27,416784410.0,40.579,41.13,40.5,41.206,40.015,542550,43.90165,,
2023-10-30,388028140.0,41.0835,41.087,41.161,41.766,40.481,496353,43.720600000000005,,
2023-10-31,517968700.0,40.1835,40.45,40.78,40.879,39.23,674042,43.583749999999995,,
2023-11-01,437592900.0,41.7702,40.884,42.325,42.381,40.869,574236,43.49795,,
2023-11-02,409171870.0,43.3724,43.328,43.506,43.884,42.894,523109,43.43885,,
2023-11-03,424609590.0,44.6275,44.02,45.005,45.309,43.723,575718,43.400999999999996,,
2023-11-06,400733350.0,45.5043,45.2845,45.751,45.935,44.899,519537,43.424899999999994,,
2023-11-07,343165470.0,45.891,45.719,45.955,46.218,45.1575,462231,43.43275,,
2023-11-08,346718940.0,46.4494,46.1,46.574,46.867,45.968,470042,43.42115,,
2023-11-09,540495970.0,47.4962,47.467,46.95,48.23,46.75,707472,43.4214,,
2023-11-10,422441560.0,47.9785,47.5,48.335,48.472,47.283,568069,43.5651,,
2023-11-13,384135700.0,48.7254,48.32,48.62,49.116,48.099,570572,43.69135,,
2023-11-14,416953870.0,49.5322,49.68,49.656,49.834,49.04,605482,43.97725,,
2023-11-15,475497350.0,49.0029,49.935,48.888,49.96,48.2,700224,44.31185000000001,,
2023-11-16,339756240.0,48.978,48.679,49.48,49.5247,48.33,488997,44.6808,44.34292000000001,
2023-11-17,325896910.0,49.369,49.524,49.298,49.717,49.007,462815,45.07635,44.41744,
2023-11-20,416142600.0,49.9569,49.312,50.409,50.548,49.181,661917,45.44805,44.52206,
2023-11-21,565746870.0,49.7739,50.126,49.944,50.517,49.222,855421,45.7621,44.623540000000006,
2023-11-22,900642330.0,48.8052,49.852,48.716,50.3349,47.69,1231000,46.10895,44.688159999999996,
2023-11-24,294644640.0,48.1534,48.47,47.776,48.921,47.745,450795,46.48145,44.732060000000004,
2023-11-27,395661900.0,48.1839,47.8,48.242,48.53,47.652,551722,46.868550000000006,44.818900000000006,
2023-11-28,401490850.0,47.8173,48.236,47.821,48.3229,47.473,567433,47.20155,44.895999999999994,
2023-11-29,382004650.0,48.241,48.379,48.14,48.762,47.86,491670,47.56955,44.9884,
