date,Volume,VWAP,Open,Close,High,Low,Trades,SMA_20,SMA_50,SMA_100
9/8/2023,34047562,15.2985,15.12,15.13,15.61,15.085,127076,,,
9/11/2023,55294677,15.7791,15.41,15.79,16.1,15.36,180140,,,
9/12/2023,39497916,15.7576,15.46,15.59,16.15,15.43,159420,,,
9/13/2023,34354449,15.6339,15.63,15.6,15.8496,15.42,104260,,,
9/14/2023,38572508,15.775,15.69,15.83,16.04,15.47,114139,,,
9/15/2023,56271175,15.3329,15.77,15.33,15.9,15.17,142821,,,
9/18/2023,37404081,15.4229,15.18,15.46,15.63,15.07,125160,,,
9/19/2023,37804835,15.1366,15.34,15.15,15.519,14.95,113716,,,
9/20/2023,37640487,15.088,15.25,14.74,15.425,14.7325,118762,,,
9/21/2023,73071796,14.0927,14.34,14,14.599,13.68,252321,,,
9/22/2023,47714543,14.2036,14.23,14.13,14.415,14.03,147672,,,
9/25/2023,39693894,14.0978,14,14.22,14.24,13.82,126057,,,
9/26/2023,37276213,14.0135,13.95,13.96,14.17,13.88,117059,,,
9/27/2023,62780567,14.6693,14.2,14.85,14.96,14.16,186619,,,
9/28/2023,66590819,15.557,15.14,15.77,15.96,14.825,214205,,,
9/29/2023,78055083,16.2602,16.11,16,16.81,15.96,247047,,,
10/2/2023,41043913,16.0147,16.03,15.88,16.44,15.77,150931,,,
10/3/2023,51578129,15.1521,15.61,14.9,15.77,14.82,183035,,,
10/4/2023,52786237,15.5266,15.46,15.73,15.85,15.16,183131,,,
10/5/2023,49648072,15.6897,15.59,15.81,15.9,15.41,146128,15.1935,,
10/6/2023,65946320,16.3153,15.56,16.61,16.695,15.51,204757,15.2675,,
10/9/2023,106161182,17.2944,16.27,17.61,17.83,16.22,316975,15.3585,,
10/10/2023,99971501,17.9951,18.06,17.8,18.4,17.62,300446,15.469,,
10/11/2023,55745629,18.0088,17.87,17.92,18.44,17.73,178536,15.585,,
10/12/2023,57940929,17.9718,17.92,17.94,18.24,17.5508,176582,15.6905,,
10/13/2023,54881953,17.5264,18.06,17.36,18.16,17.27,171213,15.792,,
10/16/2023,44987257,17.2268,17.21,17.36,17.46,16.67,152002,15.887,,
10/17/2023,54401289,17.6977,17,17.84,18.03,16.91,155425,16.0215,,
10/18/2023,44208265,17.5637,17.81,17.2,18.22,17.19,144154,16.1445,,
10/19/2023,46303217,17.2242,17.44,17.06,17.5799,16.97,156137,16.2975,,
10/20/2023,63875487,16.2634,16.85,16.11,16.94,15.81,205945,16.3965,,
10/23/2023,55967151,15.8818,15.9,16.2,16.34,15.21,180689,16.4955,,
10/24/2023,39833762,16.6167,16.38,16.64,16.93,16.3,131481,16.6295,,
10/25/2023,46706480,15.9572,16.57,15.59,16.63,15.58,169929,16.6665,,
10/26/2023,49351804,15.4067,15.6,15.29,15.91,15.05,163239,16.6425,,
10/27/2023,39913561,15.1799,15.48,15.07,15.6,14.96,138810,16.596,,
10/30/2023,46886417,14.8167,15.27,14.69,15.29,14.56,170338,16.5365,,
10/31/2023,40195406,14.8187,14.58,14.8,15.01,14.55,138723,16.5315,,
11/1/2023,54419071,14.7479,14.8,14.92,14.96,14.48,198919,16.491,,
11/2/2023,170406782,17.7428,17.48,17.97,18.3,17.2101,584792,16.599,,
11/3/2023,109302021,18.7365,18.02,18.89,19.0789,17.76,358322,16.713,,
11/6/2023,79952555,18.3676,18.99,18.54,19.08,17.93,255843,16.7595,,
11/7/2023,56289102,18.8875,18.86,18.8,19.17,18.53,176300,16.8095,,
11/8/2023,46063132,18.4529,18.85,18.49,18.93,18.15,161161,16.838,,
11/9/2023,48454200,18.5376,18.66,18.27,18.87,18.16,169177,16.8545,,
11/10/2023,92955800,19.2773,18.155,19.67,19.72,18.06,291892,16.97,,
11/13/2023,74877458,19.6213,19.59,19.71,19.88,19.3,208859,17.0875,,
11/14/2023,83230466,19.8907,20,19.94,20.1,19.5,253626,17.1925,,
11/15/2023,75533454,19.9934,19.9,19.95,20.37,19.611,240996,17.33,,
11/16/2023,49942759,19.6594,19.8,19.77,19.875,19.29,152713,17.4655,16.5576,
11/17/2023,69668728,20.2603,19.68,20.49,20.58,19.6587,218845,17.6845,16.6648,
11/20/2023,90575566,21.251,20.65,21.34,21.6,20.56,287330,17.9415,16.7758,
11/21/2023,106643319,20.3867,21.11,19.8,21.85,19.72,370502,18.0995,16.86,
11/22/2023,68452455,19.7772,20.26,19.69,20.44,19.33,244316,18.3045,16.9418,
11/24/2023,39800361,19.2535,19.38,19.2,19.6,18.93,135142,18.5,17.0092,
11/27/2023,58808177,19.1726,19.13,19.08,19.5,18.62,222392,18.7005,17.0842,
11/28/2023,54170695,19.5304,19.11,19.71,19.8,19.03,186738,18.9515,17.1692,
11/29/2023,62782105,20.0214,19.945,19.84,20.31,19.78,213554,19.2035,17.263,
11/30/2023,55500991,19.9591,19.94,20.05,20.23,19.68,189814,19.46,17.3692,
12/1/2023,61493670,19.9999,19.93,20.27,20.29,19.55,207798,19.575,17.4946,
12/4/2023,104948518,18.7965,19.75,18.4,19.9,18.27,402711,19.5505,17.58,
12/5/2023,54460845,18.2646,18.25,18.3,18.55,17.96,206765,19.5385,17.6616,
12/6/2023,96110978,17.4861,17.69,17.13,17.83,17.05,341211,19.455,17.725,
12/7/2023,56454997,17.2761,17.22,17.22,17.48,17.08,206884,19.3915,17.7724,
12/8/2023,57542134,17.6295,17.18,17.77,17.92,17.09,205207,19.3665,17.8124,
12/11/2023,50929623,17.9953,17.97,17.77,18.28,17.7,173940,19.2715,17.8478,
12/12/2023,46231909,17.5427,17.69,17.5,17.88,17.2301,167044,19.161,17.8802,
12/13/2023,52682624,17.5549,17.65,17.87,17.9,17.22,171067,19.0575,17.9396,
12/14/2023,67462755,18.1245,18.17,18.21,18.58,17.72,232624,18.9705,17.9892,
12/15/2023,93307116,18.5023,18.67,18.2,19.15,18.04,278332,18.892,18.037,
12/18/2023,60188148,18.0791,18.21,17.84,18.575,17.77,200182,18.7595,18.0616,
12/19/2023,43530312,17.9831,17.98,17.95,18.19,17.84,156962,18.59,18.0684,
